Date,Client,Time (microseconds)
2023-03-31T08:46:24.096Z,100,3490
2023-03-31T08:46:25.096Z,100,3940
2023-03-31T08:46:26.096Z,100,3390
2023-03-31T08:46:27.097Z,100,3400
2023-03-31T08:46:28.100Z,100,2520
2023-03-31T08:46:29.104Z,100,3000
2023-03-31T08:46:30.105Z,100,2420
2023-03-31T08:46:31.108Z,100,3020
2023-03-31T08:46:32.112Z,100,2810
2023-03-31T08:46:33.116Z,100,2720
2023-03-31T08:46:34.116Z,100,2930
2023-03-31T08:46:35.120Z,100,2860
2023-03-31T08:46:36.124Z,100,3130
2023-03-31T08:46:37.128Z,100,3290
2023-03-31T08:46:38.128Z,100,3020
2023-03-31T08:46:39.128Z,100,2720
2023-03-31T08:46:40.132Z,100,2960
2023-03-31T08:46:41.132Z,100,2470
2023-03-31T08:46:42.133Z,100,2790
2023-03-31T08:46:43.134Z,100,3310
2023-03-31T08:46:44.134Z,100,3280
2023-03-31T08:46:45.135Z,100,3370
2023-03-31T08:46:46.135Z,100,2990
2023-03-31T08:46:47.136Z,100,2680
2023-03-31T08:46:48.137Z,100,2560
2023-03-31T08:46:49.137Z,100,3080
2023-03-31T08:46:50.137Z,100,3410
2023-03-31T08:46:51.138Z,100,3030
2023-03-31T08:46:52.140Z,100,4810
2023-03-31T08:46:53.140Z,100,4600
2023-03-31T08:46:54.141Z,100,3050
2023-03-31T08:46:55.142Z,100,2600
2023-03-31T08:46:56.144Z,100,3330
2023-03-31T08:46:57.144Z,100,3090
2023-03-31T08:46:58.148Z,100,2780
2023-03-31T08:46:59.152Z,100,2610
2023-03-31T08:47:00.156Z,100,3180
2023-03-31T08:47:01.156Z,100,2750
2023-03-31T08:47:02.158Z,100,3620
2023-03-31T08:47:03.160Z,100,3480
2023-03-31T08:47:04.160Z,100,2560
2023-03-31T08:47:05.164Z,100,2860
2023-03-31T08:47:06.168Z,100,2840
2023-03-31T08:47:07.172Z,100,3060
2023-03-31T08:47:08.172Z,100,2970
2023-03-31T08:47:09.176Z,100,3660
2023-03-31T08:47:10.177Z,100,2450
2023-03-31T08:47:11.180Z,100,2830
2023-03-31T08:47:12.184Z,100,3270
2023-03-31T08:47:13.189Z,100,2800
2023-03-31T08:47:14.192Z,100,3480
2023-03-31T08:47:15.196Z,100,2770
2023-03-31T08:47:16.200Z,100,2510
2023-03-31T08:47:17.204Z,100,5110
2023-03-31T08:47:18.204Z,100,3560
2023-03-31T08:47:19.208Z,100,3110
2023-03-31T08:47:20.212Z,100,2870
2023-03-31T08:47:21.212Z,100,3140
2023-03-31T08:47:22.213Z,100,3100
2023-03-31T08:47:23.216Z,100,3370
2023-03-31T08:47:24.216Z,100,3220
2023-03-31T08:47:25.220Z,100,3800
2023-03-31T08:47:26.220Z,100,3930
2023-03-31T08:47:27.220Z,100,3810
2023-03-31T08:47:28.224Z,100,2840
2023-03-31T08:47:29.228Z,100,2630
2023-03-31T08:47:30.232Z,100,3470
2023-03-31T08:47:31.232Z,100,2370
2023-03-31T08:47:32.233Z,100,3540
2023-03-31T08:47:33.236Z,100,2650
2023-03-31T08:47:34.236Z,100,3780
2023-03-31T08:47:35.240Z,100,3320
2023-03-31T08:47:36.244Z,100,2680
2023-03-31T08:47:37.248Z,100,2770
2023-03-31T08:47:38.252Z,100,3070
2023-03-31T08:47:39.256Z,100,2940
2023-03-31T08:47:40.260Z,100,2820
2023-03-31T08:47:41.264Z,100,2600
2023-03-31T08:47:42.268Z,100,3710
2023-03-31T08:47:43.272Z,100,3660
2023-03-31T08:47:44.273Z,100,2650
2023-03-31T08:47:45.276Z,100,2760
2023-03-31T08:47:46.280Z,100,2720
2023-03-31T08:47:47.284Z,100,2920
2023-03-31T08:47:48.284Z,100,3180
